efta_number,dataset,classification,sensitivity,justification,removed_lines,added_lines,is_interesting,llm_reasoning
EFTA02513595,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,2,1,"The removal of specific names, such as 'Jeffrey E.', appears to be an attempt to conceal identities, which could be indicative of a cover-up or obstruction of justice."
EFTA02513633,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,3,1,"The removal of 'nadia' from the document appears to be an intentional alteration, potentially obscuring a person's identity or connection to the investigation."
EFTA02513635,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,1,1,"The removal of a specific name ('Nadia') and the addition of a vague term ('my lawyers') suggests an attempt to conceal or obscure information, rather than a genuine effort to protect privacy."
EFTA02514200,11,NAME_REMOVAL,MEDIUM,JUSTIFIED_PII,1,0,1,"The removal of a specific person's name appears to be justified as protecting individual privacy, likely due to the mention of a personal identifier."
EFTA02514206,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,1,1,1,"The removal of Svetlana Pozhidaev's name appears to be a deliberate attempt to conceal information, rather than a routine PII redaction."
EFTA02514219,11,NAME_REMOVAL,MEDIUM,JUSTIFIED_PII,1,0,1,"The removal of a single name, Svetlana Pozhidaev, appears to be a routine PII redaction to protect individual privacy."
EFTA02514446,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,5,1,"The removal of specific names, such as 'Nadia', and the alteration of an email address to a generic placeholder suggests an attempt to conceal identities or connections."
EFTA02514525,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,2,1,"The removal of the email address appears to be an attempt to conceal communication details, which could be relevant to the investigation."
EFTA02514601,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,4,1,"The removal of specific names and email addresses suggests an attempt to conceal identities, which could be indicative of a cover-up or obstruction of justice."
EFTA02514603,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,5,1,"The removal of specific names, such as 'johanna' and 'ilan', suggests an attempt to conceal identities or connections in the investigation."
EFTA02514639,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,6,1,"The removal of specific names (Nadia) and the alteration of surrounding text to obscure their presence suggests an attempt to conceal identities, which is suspicious in a document related to an investigation."
EFTA02514666,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,7,5,1,"The removal of specific names appears to be selective and targeted, potentially obscuring connections or relationships between individuals."
EFTA02514787,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,2,1,"The removal of specific names, such as 'Jeffrey', suggests an attempt to conceal identities or connections in the investigation."
EFTA02514912,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,9,9,1,"The removal of specific names (Julia Stepanova, jeffrey E) and email addresses appears to be an attempt to conceal identities, which could be relevant to the investigation."
EFTA02514953,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,6,1,"The removal of specific names (Julia Stepnova) and email addresses appears to be an attempt to conceal identities, which could be indicative of a cover-up or obstruction of justice."
EFTA02514958,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,5,1,"The removal of specific names, such as 'johanna' and 'Svetlana Pozhidaev', suggests an attempt to conceal identities or connections in the document."
EFTA02515046,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,1,1,1,"The removal of a specific person's name, Svetlana Pozhidaev, from the document suggests an attempt to conceal or obscure information about individuals involved in the case."
EFTA02515095,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,1,1,"The removal of a specific person's name, Svetlana Pozhidaev, suggests an attempt to conceal or obscure connections between individuals."
EFTA02515408,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,3,1,"The removal of specific names, such as Svetlana Pozhidaev, suggests an attempt to conceal identities or connections in the document."
EFTA02515697,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,3,1,"The removal of specific names, such as 'Brice Gordo', suggests an attempt to conceal identities or connections in the document."
EFTA02515714,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,5,1,"The removal and replacement of specific names, particularly 'Katya Liranzo' and 'Svetlana Pozhidaev', suggests an attempt to conceal identities or connections, which is suspicious in a document related to an investigation."
EFTA02515809,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,7,1,"The removal of specific names appears to be an attempt to conceal identities, which could be indicative of a cover-up or obstruction of justice."
EFTA02515836,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,2,1,"The removal of specific email addresses and minor changes to the date format suggest an attempt to conceal communication details."
EFTA02515922,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,1,1,1,"The removal of a specific person's name (Svetlana Pozhidaev) from the document, while adding a similar but incomplete sentence, suggests an attempt to conceal information rather than protect privacy."
EFTA02516155,11,NAME_REMOVAL,MEDIUM,JUSTIFIED_PII,1,0,1,"The removal of a specific person's name appears to be justified as protecting individual privacy, likely due to the mention of a personal identifier."
EFTA02516220,11,NAME_REMOVAL,MEDIUM,JUSTIFIED_PII,2,0,1,"The removal of specific names appears to be a routine PII redaction, protecting individual privacy."
EFTA02516525,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,2,1,"The removal of a specific person's name, Nadia, suggests an attempt to conceal or obscure information, which is suspicious in the context of an investigation."
EFTA02516634,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,2,1,"The removal of specific names appears to be an attempt to conceal identities, which could be indicative of a cover-up or obstruction of justice."
EFTA02516668,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,6,1,"The removal of specific names and email addresses appears to be an attempt to conceal identities, which could be indicative of a cover-up or obstruction of justice."
EFTA02516830,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,8,6,1,"The removal of specific names (Gul'sum Osmanova) from the document, while the surrounding text remains intact, suggests an attempt to conceal identities or connections."
EFTA02516880,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,9,8,1,"The removal of specific names (e.g., 'jeffrey E.') and email addresses appears to be an attempt to conceal identities, which could be relevant to the investigation."
EFTA02516882,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,11,15,1,"The removal of specific names and details appears to be an attempt to obscure connections between individuals, potentially hiding investigative leads or evidence scope."
EFTA02516957,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,5,1,"The removal of specific names, such as 'Mariana Iclikowska', suggests an attempt to conceal identities or connections in the investigation."
EFTA02517095,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,2,1,"The removal of specific names and email addresses, while adding a duplicate entry with the same information, suggests an attempt to conceal identities or connections."
EFTA02517167,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,11,13,1,"The removal of specific names and details, such as Svetlana Pozhidaev's name and occupation, suggests an attempt to conceal investigative connections or evidence scope."
EFTA02517323,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,2,1,"The removal of Svetlana Pozhidaev's name from the document, while replacing it with an identical sentence without her name, suggests a deliberate attempt to conceal or obscure information."
EFTA02517437,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,5,1,"The removal and alteration of names, phone numbers, and text content appears to be an attempt to conceal or obscure information, which is suspicious in the context of a high-profile investigation."
EFTA02517466,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,11,11,1,"The removal of specific names and email addresses appears to be an attempt to obscure connections or investigative leads, rather than a routine PII redaction."
EFTA02517833,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,4,1,"The removal of specific names (Jeffrey E and Svetlana Pozhidaev) from the document, while leaving other text intact, suggests an attempt to conceal identities or connections."
EFTA02517955,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,2,1,"The removal of specific names, such as Svetlana Pozhidaev, suggests an attempt to conceal identities or connections in the document."
EFTA02517963,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,2,1,"The removal of specific names and email addresses appears to be an attempt to conceal identities, which could be indicative of a cover-up or obstruction of justice."
EFTA02518019,11,NAME_REMOVAL,MEDIUM,JUSTIFIED_PII,4,3,1,"The removal of names appears to be a routine redaction, likely protecting the privacy of individuals involved in the case."
EFTA02518031,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,5,1,"The removal of specific names, such as Mariana Iclikowska and Richard Kahn, from the document suggests an attempt to obscure connections or relationships between individuals."
EFTA02518036,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,9,10,1,"The removal of specific names, such as 'Nadia' and 'Perelman', suggests an attempt to conceal identities or connections in the investigation."
EFTA02518141,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,4,1,"The removal of the names 'margherita', 'davina', and 'camilla' appears to be an attempt to conceal identities, which could be indicative of a deliberate effort to obscure investigative connections."
EFTA02518210,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,3,1,"The removal of specific names, such as 'Mariana Iclikowska', suggests an attempt to conceal identities or connections in the investigation."
EFTA02518236,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,3,1,"The removal of specific email addresses, particularly 'jeevacation@gmail.com', suggests an attempt to conceal communication details, which may be relevant to the investigation."
EFTA02518315,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,3,1,"The removal of specific names, such as Svetlana Pozhidaev, suggests an attempt to conceal identities or connections in the investigation."
EFTA02518372,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,4,1,"The removal of specific names (Alma Durant, Faith) from the document appears to be an attempt to conceal connections or relationships between individuals."
EFTA02518402,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,4,1,"The removal of specific names, such as 'Svetlana Pozhidaev', suggests an attempt to conceal identities or connections in the investigation."
EFTA02518668,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,7,1,"The removal of specific names and individuals from the document appears to be an attempt to obscure connections or relationships, which could be relevant to the investigation."
EFTA02518735,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,15,13,1,"The removal of names appears to be selective, targeting specific individuals while leaving others intact, suggesting an attempt to conceal connections or relationships."
EFTA02518775,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,3,1,"The removal of specific names, such as Svetlana Pozhidaev, suggests an attempt to conceal identities or connections in the document."
EFTA02519050,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,6,1,"The removal of specific names (Jeffrey Epstein, Terje) and email addresses appears to be an attempt to obscure connections between individuals involved in the case."
EFTA02519085,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,4,1,"The removal of specific names (e.g., 'Lit') and the addition of similar text with minor changes suggest an attempt to conceal identities, which is suspicious in a document related to investigative activities."
EFTA02519094,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,5,1,"The removal of specific names, such as 'Nadia', suggests an attempt to conceal identities or connections in the investigation."
EFTA02519587,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,1,1,"The removal of specific names, such as 'Jefffrey Epstein' and 'Margherita', suggests an attempt to conceal identities or connections, which is suspicious in the context of a high-profile investigation."
EFTA02519803,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,3,1,"The removal of specific names appears to be an attempt to conceal identities, which could be relevant to the investigation."
EFTA02519957,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,4,1,"The removal of specific names, such as 'Jefffrey Epstein' and 'Margherita', suggests an attempt to conceal identities or connections, which is suspicious in the context of a public document release."
EFTA02520188,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,5,1,"The removal of specific names, such as 'Vera Gordesheva' and 'Vera Wang', suggests an attempt to conceal identities or connections in the document."
EFTA02520190,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,2,1,"The removal of specific names, such as 'Celina' and 'Friend', suggests an attempt to conceal identities or connections, which may be relevant to the investigation."
EFTA02520396,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,5,1,"The removal of specific names, such as 'Jeffrey Epstein', appears to be an attempt to conceal identities, which could be indicative of a cover-up or obstruction of justice."
EFTA02520403,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,4,1,"The removal of specific names (Lesley Groff and Jeffrey Epstein) from the document, while adding identical text elsewhere, suggests an attempt to conceal identities or connections."
EFTA02520757,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,4,1,"The removal of specific email addresses appears to be an attempt to conceal communication details, which could be relevant to the investigation."
EFTA02520992,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,7,6,1,"The removal of a specific person's name ('balerina Simone') from an email exchange suggests an attempt to conceal identities or connections, which is suspicious in the context of an investigation."
EFTA02521941,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,38,50,1,"The removal of specific names, particularly 'Joshua Fink', appears to be an attempt to obscure the identity of individuals involved in a personal relationship, which could be relevant to the investigation."
EFTA02522014,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,3,1,"The removal of specific names, such as 'Magali Rodriguez Reyes', suggests an attempt to conceal identities or connections in the document."
EFTA02522347,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,4,1,"The removal of specific names, such as 'Nadia', suggests an attempt to conceal identities or connections, which is suspicious in the context of a DOJ-released document."
EFTA02522383,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,3,1,"The removal of specific names and email addresses suggests an attempt to conceal connections or relationships, which may be relevant to the investigation."
EFTA02522709,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,3,1,"The removal of specific names, such as 'Little Irina', suggests an attempt to conceal identities or connections in the document."
EFTA02522852,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,3,1,"The removal of specific names (svetlana, Svetnhone) and the addition of similar-sounding names (please sencanhone) suggests an attempt to conceal or alter identities within the document."
EFTA02522895,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,7,1,"The removal of specific names, such as 'Froggiaffrey' and 'svetlana', suggests an attempt to conceal identities or connections in the document."
EFTA02523074,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,17,19,1,"The removal of specific names, such as 'Lesley Groff' and 'Jeffrey Epstein', from the document suggests an attempt to conceal identities or connections, which may be indicative of a cover-up."
EFTA02523140,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,3,1,"The removal of specific email addresses and names suggests an attempt to conceal communication records, which could be relevant to the investigation."
EFTA02523144,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,5,1,"The removal of specific names and email addresses appears to be an attempt to conceal communication records, which could be relevant to the investigation."
EFTA02523390,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,22,29,1,"The removal of specific names and email addresses appears to be an attempt to obscure connections between individuals, which could be relevant to the investigation."
EFTA02523438,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,5,1,"The removal of specific names appears to be selective and may be attempting to conceal connections or relationships, rather than a routine PII redaction."
EFTA02523581,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,7,1,"The removal of specific names, such as 'Irina', appears to be an attempt to obscure connections or relationships, which could be relevant to the investigation."
EFTA02523583,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,6,1,"The removal of Irina's name and subsequent addition of altered text suggests an attempt to conceal or modify the original content, which may be relevant to the investigation."
EFTA02523586,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,10,9,1,"The removal of Irina's name and the addition of extraneous text suggest an attempt to conceal or alter the context of a communication, which may be relevant to the investigation."
EFTA02523610,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,8,7,1,"The removal of Irina's name and the alteration of the surrounding text suggest an attempt to conceal or obscure investigative connections."
EFTA02523853,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,8,9,1,"The removal and re-addition of names, specifically 'Sarah', suggests an attempt to conceal or obscure the identity of individuals involved in the communication."
EFTA02524004,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,9,9,1,"The removal of specific names and email addresses from the document, while adding a truncated version with similar information, suggests an attempt to obscure connections or investigative scope."
EFTA02524240,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,4,1,"The removal of specific text, such as 'Kate soon for jogging', suggests an attempt to conceal identities or relationships."
EFTA02524270,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,3,1,"The removal of specific names, such as 'Irina', suggests an attempt to conceal identities or connections within the investigation."
EFTA02524903,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,3,1,"The removal of specific names from the document, particularly 'nadia', suggests an attempt to conceal identities or connections."
EFTA02525208,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,4,1,"The removal of 'Lviv' and replacement with 'M' suggests an attempt to obscure the location, potentially hiding connections or investigative scope."
EFTA02525306,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,3,1,"The removal of specific email addresses and the addition of a placeholder 'ote:' suggests an attempt to conceal identities or connections."
EFTA02525394,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,7,1,"The removal of specific names (e.g., 'E', 'Sue') and the addition of similar text with the name changed suggests an attempt to conceal identities, which may be suspicious in a document related to an investigation."
EFTA02525515,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,5,1,"The removal of specific names and modification of locations (Lviv to M) suggests an attempt to obscure identities or connections, which is suspicious in a document related to an investigation."
EFTA02525617,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,8,8,1,"The removal of specific names and email addresses appears to be an attempt to conceal identities, which could be indicative of a cover-up or obstruction of justice."
EFTA02525742,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,5,1,"The removal and addition of names appear to be an attempt to conceal the identities of individuals involved, which could be relevant to the investigation."
EFTA02525746,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,5,1,"The removal of specific names (Louella, Simona, Dana, Sarah) from the document suggests an attempt to conceal identities or relationships, which could be relevant to the investigation."
EFTA02525811,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,1,2,1,"The removal of a specific name (Vika) from the document, while adding identical text elsewhere, suggests an attempt to conceal or manipulate information."
EFTA02525843,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,3,1,"The removal of 'Dana' and addition of 'Win' suggests an intentional alteration to conceal or manipulate the identity of individuals involved in the communication."
EFTA02525849,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,3,1,"The removal of specific names, such as 'Nadia', and the alteration of recipient names (Koh to Kah) suggests an attempt to conceal identities or connections."
EFTA02525979,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,8,1,"The removal of specific names (Celina, Andrew, Beatrice) from the document appears to be an attempt to obscure connections or relationships, which could be relevant to the investigation."
EFTA02526001,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,7,7,1,"The removal of specific names (Nadja and Paul) from the email, while adding a generic greeting, suggests an attempt to conceal identities or relationships."
EFTA02526412,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,4,1,"The removal of specific email addresses appears to be an attempt to conceal communication details, which could be relevant to the investigation."
EFTA02526414,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,3,1,"The removal of specific email addresses appears to be an attempt to conceal communication details, which could be relevant to the investigation."
EFTA02528119,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,10,13,1,"The removal of specific names (Amanda, Andra, Olga) and phone numbers appears to be an attempt to conceal identities, which could be indicative of a cover-up or obstruction of justice."
EFTA02528565,11,NAME_REMOVAL,MEDIUM,JUSTIFIED_PII,1,1,1,"The removal of the sender's name appears to be a routine PII redaction, protecting the individual's privacy."
EFTA02528672,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,7,1,"The removal of specific names (K=te and Jeffrey Epstein) from the document, while the surrounding text remains intact, suggests an attempt to conceal identities or connections."
EFTA02528935,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,4,1,"The removal of a specific email address (nadja2102@yahoo.com) suggests an attempt to conceal communication details, which could be relevant to the investigation."
EFTA02529208,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,11,12,1,"The removal of specific names, Anastasiya Siroochenko, from the document suggests an attempt to conceal identities or connections, which may be indicative of a cover-up."
EFTA02529235,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,4,1,"The removal of specific names, such as 'Jeffrey Epstein', and the alteration of surrounding text suggests an attempt to conceal or obscure identities."
EFTA02529259,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,6,1,"The removal of specific names, such as 'Richard Kahn', and the alteration of email addresses to generic placeholders suggests an attempt to obscure connections or investigative leads."
EFTA02529976,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,1,1,"The removal of specific names, such as Johanna Thuringer, suggests an attempt to conceal identities or connections within the document."
EFTA02530070,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,2,1,"The removal of specific names and email addresses suggests an attempt to conceal connections or relationships, which may be relevant to the investigation."
EFTA02530156,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,5,1,"The removal of specific names and email addresses appears to be an attempt to conceal identities, which could be indicative of a cover-up or obstruction of justice."
EFTA02530203,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,3,1,"The removal of specific names (Svetlana and Simona) suggests an attempt to conceal connections or relationships, which may be relevant to the investigation."
EFTA02530250,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,7,7,1,"The removal of specific names, particularly 'Johanna Thuringer', suggests an attempt to conceal identities or connections in the investigation."
EFTA02530650,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,3,1,"The removal and replacement of specific names (Arina -> Me) suggests an attempt to conceal identities, which could be indicative of a cover-up or obstruction of justice."
EFTA02530748,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,4,1,"The removal of the sender's name 'Irina' and recipient's name (implied by 'To: -') suggests an attempt to conceal communication details, which could be relevant to the investigation."
EFTA02530776,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,4,1,"The removal of specific names, such as 'Irina', suggests an attempt to conceal identities or connections, which is suspicious in a document related to the Epstein case."
EFTA02531054,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,3,1,"The removal of 'Simona' and addition of a placeholder name ('M') suggests an attempt to conceal or alter the identity of individuals involved in the conversation."
EFTA02531105,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,5,1,"The removal of 'Sarah K.' and the addition of 'MI' suggests an intentional alteration to conceal identities, which may be indicative of a cover-up or obstruction of justice."
EFTA02531149,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,9,10,1,"The removal of specific names and email addresses appears to be an attempt to conceal identities, which could be relevant to the investigation."
EFTA02531163,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,8,8,1,"The removal of specific names, such as 'Sarah K.', appears to be an attempt to obscure identities, which could be indicative of a deliberate effort to conceal investigative connections."
EFTA02531170,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,5,1,"The removal of specific names (Simona) and alteration of others (c -> Nrote, ane -> and) suggests a deliberate attempt to obscure identities."
EFTA02531220,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,4,1,"The removal of specific names (N E M) from the email exchange suggests an attempt to conceal identities, which could be indicative of a cover-up or obstruction of justice."
EFTA02531266,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,6,1,"The removal of specific names, such as 'Simona' and 'Jeffrey', suggests an attempt to obscure connections or relationships between individuals."
EFTA02531278,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,8,1,"The removal of specific names (Alena, Olya) and the alteration of their relationships with Jeffrey suggests an attempt to obscure connections or evidence scope."
EFTA02531344,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,4,1,"The removal of specific names (Simona and Arote) appears to be an attempt to obscure connections or relationships, which could be relevant to the investigation."
EFTA02531386,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,9,10,1,"The removal of specific names, such as 'Jeffrey Epstein', and the alteration of email addresses suggest an attempt to conceal connections or evidence scope."
EFTA02531641,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,9,10,1,"The removal of specific names (nadia, a, and q=) from the email exchange suggests an attempt to conceal identities or connections in the investigation."
EFTA02531890,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,8,11,1,"The removal of specific names (e.g., 'DITE', 'Svetlana', 'Simona') from the document suggests an attempt to obscure connections or relationships, which could be relevant to the investigation."
EFTA02532128,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,1,2,1,"The removal of a specific email sender's name appears to be an attempt to conceal the identity of a person involved in the investigation."
EFTA02532443,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,20,23,1,"The removal of specific names, such as Viktoriia Makhova and Arda, appears to be an attempt to obscure connections between individuals, which could be relevant to the investigation."
EFTA02532534,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,3,1,"The removal of specific names appears to be an attempt to conceal identities, which could indicate a deliberate effort to obscure investigative connections or evidence scope."
EFTA02532684,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,0,1,"The removal of specific names, particularly when repeated, suggests an attempt to conceal identities or connections, which is suspicious in a document related to the Epstein case."
EFTA02532820,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,0,1,"The removal of specific names, particularly when repeated, suggests an attempt to conceal identities or connections."
EFTA02532982,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,0,1,"The removal of specific names, particularly when repeated, suggests an attempt to conceal identities or connections within the document."
EFTA02533073,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,1,1,"The removal of specific names appears to be selective and targeted, potentially obscuring connections or investigative scope."
EFTA02533379,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,2,1,"The removal of a specific email address appears to be an attempt to conceal communication details, which could be relevant to the investigation."
EFTA02533655,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,5,1,"The removal of specific email addresses appears to be an attempt to conceal communication details, which could be relevant to the investigation."
EFTA02533694,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,4,1,"The removal of specific names from the document, particularly 'nadia mar', suggests an attempt to conceal identities or connections."
EFTA02534050,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,1,2,1,"The removal of specific email addresses appears to be an attempt to conceal communication records, which could be relevant to the investigation."
EFTA02534218,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,3,1,"The removal of a specific email sender's name (p.selana@yahoo.com) and the alteration of the message to remove personal references suggests an attempt to conceal identities or conversations."
EFTA02534374,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,2,3,1,"The removal of specific names (p.selana@yahoo.com) and addition of a generic placeholder ('rote') suggests an attempt to conceal identities, which is suspicious in the context of an investigation."
EFTA02534537,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,6,11,1,"The removal of specific email addresses and names appears to be an attempt to conceal communication details, which could be relevant to the investigation."
EFTA02534727,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,3,2,1,"The removal of a specific individual's name, Manuela E. Statter, suggests an attempt to conceal or obscure connections within the document."
EFTA02534801,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,7,7,1,"The removal of specific email addresses and names, particularly Jeffrey Epstein's, suggests an attempt to conceal connections or relationships."
EFTA02534809,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,5,3,1,"The removal of the name 'balerina Simona' and its replacement with a similar but distinct phrase suggests an attempt to conceal or alter the identity of an individual involved in the case."
EFTA02534963,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,4,3,1,"The removal of a specific person's name ('svetlana') from the document, while leaving the surrounding context intact, suggests an attempt to conceal or obscure information."
EFTA02534979,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,10,11,1,"The removal of specific names, such as 'Irina', and the alteration of email addresses suggest an attempt to obscure connections or identities."
EFTA02535352,11,NAME_REMOVAL,MEDIUM,SUSPICIOUS,7,6,1,"The removal of specific names (Anna, Arina) and addition of identical text with minor changes suggests an attempt to conceal identities or connections."
